"['atom A', 'A no.', 'B no.', 'Distance (A)']"
"['Ti', 214, 'O', 591, 1.89]"
"['Ti', 215, 'O', 518, 2.195]"
"['Ti', 215, 'O', 519, 1.986]"
"['Ti', 215, 'O', 520, 2.035]"
"['Ti', 215, 'O', 535, 2.048]"
"['Ti', 215, 'O', 594, 2.02]"
"['Ti', 216, 'O', 522, 2.195]"
"['Ti', 216, 'O', 523, 2.052]"
"['Ti', 216, 'O', 524, 2.014]"
"['Ti', 216, 'O', 538, 2.187]"
"['Ti', 216, 'O', 597, 1.787]"
"['Ti', 217, 'O', 524, 1.974]"
"['Ti', 217, 'O', 525, 1.796]"
"['Ti', 217, 'O', 526, 2.033]"
"['Ti', 217, 'O', 527, 1.929]"
"['Ti', 217, 'O', 541, 2.2]"
"['Ti', 217, 'O', 600, 1.932]"
"['Ti', 218, 'O', 527, 2.199]"
"['Ti', 218, 'O', 528, 2.053]"
"['Ti', 218, 'O', 529, 1.909]"
"['Ti', 218, 'O', 530, 1.99]"
"['Ti', 218, 'O', 544, 2.198]"
"['Ti', 218, 'O', 603, 1.894]"
"['Ti', 219, 'O', 530, 1.979]"
"['Ti', 219, 'O', 531, 2.159]"
"['Ti', 219, 'O', 532, 2.063]"
"['Ti', 219, 'O', 533, 2.023]"
"['Ti', 219, 'O', 547, 2.195]"
"['Ti', 219, 'O', 606, 1.682]"
"['Ti', 220, 'O', 521, 1.934]"
"['Ti', 220, 'O', 533, 1.976]"
"['Ti', 220, 'O', 534, 2.177]"
"['Ti', 220, 'O', 535, 1.933]"
"['Ti', 220, 'O', 550, 2.175]"
"['Ti', 220, 'O', 609, 1.607]"
"['Ti', 221, 'O', 478, 1.808]"
"['Ti', 221, 'O', 537, 2.198]"
"['Ti', 221, 'O', 538, 2.16]"
"['Ti', 221, 'O', 539, 2.094]"
"['Ti', 221, 'O', 612, 1.75]"
"['Ti', 222, 'O', 539, 2.125]"
"['Ti', 222, 'O', 540, 2.194]"
"['Ti', 222, 'O', 541, 2.086]"
"['Ti', 222, 'O', 542, 1.704]"
"['Ti', 222, 'O', 615, 1.937]"
"['Ti', 223, 'O', 484, 1.701]"
"['Ti', 223, 'O', 542, 2.196]"
"['Ti', 223, 'O', 543, 2.198]"
"['Ti', 223, 'O', 544, 2.086]"
"['Ti', 223, 'O', 545, 2.188]"
"['Ti', 223, 'O', 618, 1.883]"
"['Ti', 224, 'O', 487, 1.857]"
"['Ti', 224, 'O', 545, 1.816]"
"['Ti', 224, 'O', 546, 2.023]"
"['Ti', 224, 'O', 547, 1.842]"
"['Ti', 224, 'O', 548, 2.189]"
"['Ti', 224, 'O', 621, 1.959]"
"['Ti', 225, 'O', 490, 1.814]"
"['Ti', 225, 'O', 536, 2.029]"
"['Ti', 225, 'O', 548, 1.905]"
"['Ti', 225, 'O', 549, 1.995]"
"['Ti', 225, 'O', 550, 2.113]"
"['Ti', 225, 'O', 624, 1.885]"
"['Ti', 226, 'O', 252, 1.864]"
"['Ti', 226, 'O', 552, 2.164]"
"['Ti', 226, 'O', 553, 1.666]"
"['Ti', 226, 'O', 554, 2.079]"
"['Ti', 226, 'O', 568, 2.187]"
"['Ti', 227, 'O', 255, 2.096]"
"['Ti', 227, 'O', 554, 2.091]"
"['Ti', 227, 'O', 555, 2.076]"
"['Ti', 227, 'O', 556, 1.627]"
"['Ti', 227, 'O', 557, 2.185]"
"['Ti', 227, 'O', 571, 2.172]"
"['Ti', 228, 'O', 258, 2.092]"
"['Ti', 228, 'O', 557, 1.608]"
"['Ti', 228, 'O', 558, 2.098]"
"['Ti', 228, 'O', 560, 2.195]"
